,0,1,2,3
10,580.0,2Pac,Ghetto Gospel (feat. Elton John),"Uhh,
Hit them with a lil' ghetto gospel

[Chorus - Elton John:]
Those who wish to follow me (My ghetto gospel)
I welcome with my hands
And the red sun sinks at last into the hills of gold
And peace to this young warrior without the sound of guns

[2Pac]
If I could recelect before my hood dayz
I'd sit and reminisce, nigga and bliss on the good dayz
i stop and stare at the younger, my heart goes to'em
They tested, it was stressed that they under
In our days, things changed
Everyone's ashamed to the youth cuz the truth looks strange
And for me it's reversed, we left them a world that's cursed, and it hurts
cause any day they'll push the button
and yall condemned like Malcolm x and Bobby Hunton, died for nothin
Don't them let me get teary, the world looks dreary
but when you wipe your eyes, see it clearly
there's no need for you to fear me
if you take the time to hear me, maybe you can learn to cheer me
it aint about black or white, cuz we're human
I hope we see the light before its ruined
my ghetto gospel

[Chorus - Elton John:]
Those who wish to follow me (My ghetto gospel)
I welcome with my hands
And the red sun sinks at last into the hills of gold
And peace to this young warrior without the sound of guns

[2Pac]
Tell me do you see that old lady aint it sad
Living out a bag, but she's glad for the little things she has
And over there there's a lady, crack got her crazy
Guess she's given birth to a baby
I don't trip and let it fade me, from outta the frying pan
We jump into another form of slavery
Even now I keep discouraged
Wonder if they take it all back while I still keep the courage
I refuse to be a role model
I set goals, take control, drink out my own bottle
I make mistakes, but learn from every one
And when its said and done
I bet this Brotha be a better one
If I'm upset, you don't stress
Never forget, that God hasn't finished with me yet
I feel his hand on my brain
When I write rhymes, I go blind, and let the lord do his thang
But am I less holy
Cuz I choose to puff a blunt and drink a beer with my homies
Before we find world peace
We gotta find peace in that war on the streets
My ghetto gospel

[Chorus - Elton John:]
Those who wish to follow me (Yeah My ghetto gospel)
I welcome with my hands
And the red sun sinks at last into the hills of gold
And peace to this young warrior without the sound of guns

[2Pac]
Lord can you hear me speak!!
To pay the price of being hell bound..."
11,1825.0,2Pac,Until the End of Time,"Perhaps I was addicted to tha dark side
Some where inside my childhood I missed my heart die
And even though we both came from tha same places
Tha money and tha fame made us all change places
Could it be through tha misery
That came to past ,
the hard times make a true friend afraid to ask,
for currency,
but u could run to me when u need me,
i'll never leave honestly someone to believe in as u can see.
this is our thang through and true
What can I do real homies help you get through
And comin' new he'd do tha same thang if he could
Cuz in tha hood true homies make you feel good
And happy times we be actin' up call tha cops
Bringin' tha cease to tha peace that was on my block
It never stop, when my mama ask me will I change
I tell her yeah but it's clear I'll always be tha same
Until the end of time

Chorus:

So take, these Broken Wings
I need your hands to come & heal me once again,
(Until The End Of Time)
So I can fly , until the end of time
(Until The End Of Time, Until The End Of Time)

Verse Two

Please Lord forgive me for my life of sin
My hard stare seem to scare all my sister's kids
So you know I don't hang around tha house much
This all night money makin' got me outta touch, shit
Ain't flashed a smile in a long while
An unexpected birth worst of tha ghetto childs
My attitude got me walkin' solo
Ride out alone in my low-low
Watchin' tha whole world move in slow mo
For quiet times I disappear and listen to tha ocean
Smokin' pots think my thoughts
Then it's back to coastin'
Who can I trust in this cold world
My phony homie had a baby by my own girl
But I ain't trippin' I'm a playa
I ain't sweatin' him
I his sister had her mo' good like a Mexican
His next of kin
No remorse it was meant to happen
Besides rappin' tha only thing I did good was scrappin'
Until tha end of time

Chorus:

So take, these Broken Wings
I need your hands to come & heal me once again,
(Until The End Of Time)
So we can fly , until the end of time

take these Broken Wings,
you've got to learn to fly, n learn to live so free
(Until The End Of Time)
So we can fly, until the end of time
(Time, Until The End Of Time)

Verse Three:

Now who's to say if I was right or wrong?
To live my life,
As an Outlaw all alone
Remain strong in this planet full of playa hataz
They conversate 'bout Death Row full of demonstrators
And in tha end drinkin' henessey made all my enemies envy me
So go when I flow eliminatin' easily
Falls to they knees, they plead for their right to breath
While beggin' me to keep tha peace haha
Well I can see close into achieve
In times of danger don't freeze time to be a G
Follow my lead I supply everything you need
An ounce of game and tha trainin' to make a G'
Remember me?
As an Outcast Outlaw
Another album out that's what I'm about more,
gettin' raw 'till tha day I see my casket
Buried as a G' while tha whole world remembers me
Until the end of time

Chorus:
So take, these Broken Wings
(So take, these Broken Wings)
I need your hands to come & heal me once again, (once again, once again)
(Until The End Of Time)
So we can fly , until the end of time

take these broken wings,
you'v got to learn to learn to fly n learn to live so free
so we can fly, until the end of time

RL:
If the angels come down
and takes me away
Memories of Me and my songs will always stay
Until The End Of Time"
12,673.0,3 Doors Down,Here Without You,"A hundred days have made me older
since the last time that I saw your pretty face

A thousand lights have made me colder
and I don’t think I can look at this the same

But all the miles that separate
They disappear now when I’m dreaming of your face

I’m here without you baby
but you're still on my lonely mind
I think about you baby
and I dream about you all the time
I’m here without you baby
but you're still with me in my dreams
And tonight it’s only you and me

The miles just keep rollin'
as the people leave their way to say hello
I've heard this life is overrated
but I hope that it gets better as we go

I’m here without you baby
but you're still on my lonely mind
I think about you baby
and I dream about you all the time
I’m here without you baby
but you're still with me in my dreams
And tonight girl it’s only you and me

Everything I know,
and anywhere I go
it gets hard but it won’t take away my love
And when the last one falls,
when it’s all said and done
it gets hard but it won’t take away my love

I’m here without you baby
but you're still on my lonely mind
I think about you baby
and I dream about you all the time
I’m here without you baby
but you're still with me in my dreams
And tonight girl it’s only you and me"
13,874.0,The Doors,Love Me Two Times,"Love me two times baby
Love me twice today
Love me two times girl
I'm goin' away
Love me two times girl
One for tomorrow
One just for today

Love me two times
I'm goin' away

Love me one time
Could not speak
Love me one time
You know my knees gone weak
Love me two times girl
Lasts me all through the week

Love me two times
I'm goin' away

Love me two times
I'm goin' away
Ahh yeah

Love me one time
Could not speak
Love me one time baby
You know my knees gone weak
Love me two times girl
Lasts me all through the week

Love me two times
I'm goin' away

Love me two times babe
Love me twice today
Love me two times babe
'Cause I'm goin' away
Love me two times girl
One for tomorrow
One just for today

Love me two times
I'm goin' away

Love me two times
I'm goin' away

Love me two times
I'm goin' away"
14,919.0,3 Doors Down,Kryptonite,"Well, I took a walk around the world
To ease my troubled mind
I left my body lying somewhere
In the sands of time
Well, I watched the world float to
The dark side of the moon
I feel there's nothin' I can do
Yeah.

I watched the world float to
The dark side of the moon
After all, I knew it had to be somethin'
To do with you
I really don't mind what happens now and then
As long as you'll be my friend at the end

If I go crazy
Then will you still call me ""Superman""
If I'm alive and well
Will you be there a-holdin' my hand
I'll keep you by my side with
My superhuman might
Kryptonite

You called me strong you called me weak
But still your secrets I will keep
You took for granted all the times
I never let you down
You stumbled in and bumped your head
If not for me, then you'd be dead
I picked you up and put you
Back on solid ground

If I go crazy
Then will you still call me ""Superman""
If I'm alive and well
Will you be there a-holdin' my hand
I'll keep you by my side with
My superhuman might
Kryptonite

If I go crazy
Then will you still call me ""Superman""
If I'm alive and well
Will you be there
Holdin' my hand
I'll keep you by my side with
My superhuman might
Kryptonite
Yeah

If I go crazy,
Then will you still call me ""Superman""
If I'm alive and well,
Will you be there a-holdin' my hand
I'll keep you by my side with
My superhuman might
Kryptonite

Whoa, whoa, whoa
Whoa, whoa, whoa
Whoa, whoa, whoa"
15,948.0,3 Doors Down,Let Me Go,"One more kiss could be the best thing
Or one more lie could be the worst
And all these thoughts are never resting
And you're not something I deserve


In my head there's only you now
This world falls on me
In this world there's real and make believe
And this seems real to me

CHORUS
And you love me but you don't know who I am
I'm torn between this life I lead and where I stand
And you love me but you don't know who I am
So let me go, let me go

I dream ahead to what I hope for
And I turn my back on lovin' you
How can this love be a good thing
And I know what I'm going through


In my head there's only you now
This world falls on me
In this world there's real and make believe
And this seems real to me

CHORUS
And you love me but you don't know who I am
I'm torn between this life I lead and where I stand
And you love me but you don't know who I am
So let me go, just let me go, let me go

BRIDGE
And no matter how hard I try
I can't escape these things inside
I know, I know
But all the pieces fall apart
You will be the only one who knows, who knows

CHORUS
You love me but you don't know who I am
I'm torn between this life I lead and where I stand
And you love me but you don't know who I am
So let me go, just let me go

(you don't know)
You love me but you don't
You love me but you don't
(you don't know)
You love me but you don't know who I am

(you don't know)
You love me but you don't
You love me but you don't
(you don't know)
You love me but you don't know me"
16,1903.0,3 Doors Down,Let Me Go,"One more kiss could be the best thing
Or one more lie could be the worst
And all these thoughts are never resting
And you're not something I deserve


In my head there's only you now
This world falls on me
In this world there's real and make believe
And this seems real to me

CHORUS
And you love me but you don't know who I am
I'm torn between this life I lead and where I stand
And you love me but you don't know who I am
So let me go, let me go

I dream ahead to what I hope for
And I turn my back on lovin' you
How can this love be a good thing
And I know what I'm going through


In my head there's only you now
This world falls on me
In this world there's real and make believe
And this seems real to me

CHORUS
And you love me but you don't know who I am
I'm torn between this life I lead and where I stand
And you love me but you don't know who I am
So let me go, just let me go, let me go

BRIDGE
And no matter how hard I try
I can't escape these things inside
I know, I know
But all the pieces fall apart
You will be the only one who knows, who knows

CHORUS
You love me but you don't know who I am
I'm torn between this life I lead and where I stand
And you love me but you don't know who I am
So let me go, just let me go

(you don't know)
You love me but you don't
You love me but you don't
(you don't know)
You love me but you don't know who I am

(you don't know)
You love me but you don't
You love me but you don't
(you don't know)
You love me but you don't know me"
17,1196.0,3LW,No More (Baby I'Ma Do Right),"I'm getting a little tired
Of your broken promises, promises
Lookin' at your pager
Seein' different numbers, numbers
Call you on your cell
You're hangin' with the fellas, fellas
Hangin' with my girls
You always gettin' jealous, jealous

I was with you when
You didn't have no dollas, no dollas
Hangin' at the crib
Chillin' with your momma, your momma
Never fronted you
Never brought the drama, the drama
Now you flip the script
Playa, please

No, I'm not the one
(Say it again, say it again, oh)
No, I'm not the one
(You do or you don't)

{1} - You do or you don't, don't
You will or you won't, won't
No more
No more, baby I'ma do right

You can or you can't, can't
Be a man, be a man, man
No more
No more, baby I'ma do right

You treat me like a lady
When you open doors, doors
But then you wanna front
When you're with your boys, your boys
How you gonna play me
When I bought your clothes, your clothes
The ones that you be wearin'
When you with your hoes, your hoes

I know you never thought
That I would have the nerve, the nerve
Think about it more
Since you at the curb, the curb
Blowin' up my pager
Say you want a chance, a chance
Listen when I say
Playa, please

{Repeat 1}

{2} - No, I'm not the one
(Baby, I'ma do right, do right)
No, I'm not the one
(Baby, I'ma do right, do right)

{Repeat 2}

I just wanna know
What happened to our love
We used to be best friends
Where did it go wrong
When you gonna see
How good it is with me
I'm tired and I'm through
With all your listen baby

{Rap}
Hey yo you promised me Kate Spade
But that was last year boy in the 8th grade
But you ain't Biggie baby boy, so no it ain't ""one more chance""
And when yo friends around you don't wanna hold my hand
And now you see a girl stylin' and wildin' inside the mix
Hoppin' out the whips the whips the five and six
Yes fly crone, so pardon my tone
Here go a quarter go call Tyrone

{Repeat 1}

{Repeat 2}
{Repeat 2}

No, I'm not the one
(Say it again, s-say it, say it again)
No, I'm not the one
(Say it again, s-say it, say it again)

No, I'm not the one
(I could do bad all by myself)
No, I'm not the one
(I'm not the one, the one)

{Repeat 1 to fade}"
18,458.0,3OH!3,DONTTRUSTME,
19,1138.0,3OH!3,My First Kiss (feat. Ke$ha),
